,Unnamed: 0,IDPERSON,ID11,ID13
49091,108522,210902201101,1,3
49092,60768,93601050102,1,3
49093,165915,281002072103,1,4
49094,150053,271302041103,1,5
49095,179072,291509140204,1,4
49096,37906,80504161101,1,5
49097,180003,291703080101,1,4
49098,83880,160203150104,1,2
49099,191127,320508030201,2,3
49100,155281,272317040101,1,2
49101,195506,321203120101,3,2
49102,11316,30107070106,1,2
49103,66274,95405070204,1,1
49104,132987,233503021201,1,2
49105,98600,191609140105,1,2
49106,14592,30707100104,2,3
49107,110537,211705100102,1,2
49108,121274,230208040102,1,2
49109,26177,60806060103,1,2
49110,180412,291708040102,1,3
49111,48565,82607120103,1,5
49112,176114,291103080101,1,2
49113,82041,130506070101,3,5
49114,35617,71039120905,1,4
49115,65177,95004030105,1,3
49116,28970,61703061102,1,3
49117,147678,270601131101,5,4
49118,152128,271802031103,1,2
49119,137684,240711080901,1,2
49120,145385,250201200104,1,5
49121,68815,96503140105,1,3
49122,115585,220401101105,1,3
49123,127997,232104051208,1,4
49124,119413,221103131103,1,3
49125,125523,231302081203,1,3
49126,30039,61806090104,2,3
49127,141804,241503102104,1,3
49128,32069,70201080201,1,3
49129,84243,170501040101,1,2
49130,113127,212403051103,1,3
49131,156364,272505081105,1,2
49132,68460,96501070101,1,3
49133,190914,320505100105,2,3
49134,70947,96705040103,1,3
49135,112442,212201111104,1,4
49136,76472,102203031105,1,4
49137,29865,61804121103,1,4
49138,65491,95104020103,1,4
49139,153689,272105030203,1,3
49140,13078,30401080902,1,1
49141,170364,282301111107,1,3
49142,144569,242201010107,1,2
49143,134737,233902090101,1,3
49144,101529,201214011104,1,3
49145,76481,102203041103,1,3
49146,190721,320504050102,2,3
49147,172980,290507150105,1,3
49148,58984,92901140101,1,3
49149,98032,191601010105,2,2
49150,195084,321112010102,1,3
49151,143001,241906011203,1,5
49152,5804,20212140104,1,3
49153,84034,170602130103,3,5
49154,193197,320807090101,1,4
49155,26685,60902061101,1,4
49156,31578,70102060101,1,2
49157,108745,211201040107,1,3
49158,156607,272508090106,1,2
49159,64144,94903120103,1,3
49160,169707,282105150104,1,3
49161,12426,30209010101,1,4
49162,7832,20601072104,1,4
49163,60636,93409020105,2,3
49164,149759,271004200106,1,3
49165,163498,280309110103,1,3
49166,39123,80608150104,1,1
49167,175817,291007120102,1,5
49168,112899,212401101202,1,3
49169,17888,31113121108,4,2
49170,32121,70201160104,1,3
49171,15844,31002070301,4,4
49172,52368,90402162101,2,2
49173,28940,61703011203,1,2
